init term cap len fft B Power speed toll type ;
685.0 6158.0 2400.0 0.07 0.09333333333333334 0.15 4 45.0 0 1 0
708.0 7688.0 2400.0 0.05 0.15 0.15 4 20.0 0 1 0
708.0 148.0 2400.0 0.05 0.15 0.15 4 20.0 0 1 0
723.0 3673.0 2400.0 0.05 0.15 0.15 4 20.0 0 1 0
723.0 5610.0 2400.0 0.05 0.2 0.15 4 15.0 0 1 0
746.0 8266.0 1200.0 0.060000000000000005 0.24 0.15 4 15.0 0 1 0
746.0 6525.0 1200.0 0.060000000000000005 0.24 0.15 4 15.0 0 1 0
765.0 7379.0 1200.0 0.060000000000000005 0.18 0.15 4 20.0 0 1 0
765.0 6559.0 2400.0 0.07 0.16800000000000004 0.15 4 25.0 0 1 0
859.0 164.0 2400.0 0.060000000000000005 0.08000000000000002 0.15 4 45.0 0 1 0
862.0 6490.0 1200.0 0.05 0.2 0.15 4 15.0 0 1 0
862.0 7284.0 1200.0 0.05 0.2 0.15 4 15.0 0 1 0
862.0 1374.0 2400.0 0.07 0.28 0.15 4 15.0 0 1 0
873.0 5275.0 1200.0 0.05 0.15 0.15 4 20.0 0 1 0
873.0 4572.0 2400.0 0.07 0.21000000000000002 0.15 4 20.0 0 1 0
873.0 8094.0 2400.0 0.05 0.2 0.15 4 15.0 0 1 0
904.0 4424.0 1200.0 0.05 0.12 0.15 4 25.0 0 1 0
904.0 3838.0 1200.0 0.07 0.16800000000000004 0.15 4 25.0 0 1 0
973.0 873.0 2400.0 0.060000000000000005 0.18 0.15 4 20.0 0 1 0
973.0 2667.0 1200.0 0.060000000000000005 0.08000000000000002 0.15 4 45.0 0 1 0
1031.0 1627.0 2400.0 0.09 0.26999999999999996 0.15 4 20.0 0 1 0
1031.0 7100.0 2400.0 0.060000000000000005 0.18 0.15 4 20.0 0 1 0
1031.0 7623.0 2400.0 0.060000000000000005 0.14400000000000002 0.15 4 25.0 0 1 0
1119.0 4739.0 2400.0 0.060000000000000005 0.24 0.15 4 15.0 0 1 0
1119.0 477.0 2400.0 0.05 0.2 0.15 4 15.0 0 1 0
1119.0 494.0 8400.0 0.05 0.3 0.15 4 10.0 0 1 0
1257.0 765.0 2400.0 0.060000000000000005 0.14400000000000002 0.15 4 25.0 0 1 0
1257.0 2822.0 1200.0 0.060000000000000005 0.24 0.15 4 15.0 0 1 0
1275.0 4608.0 2400.0 0.08 0.192 0.15 4 25.0 0 1 0
1275.0 7379.0 1200.0 0.060000000000000005 0.18 0.15 4 20.0 0 1 0
1356.0 5381.0 2400.0 0.060000000000000005 0.24 0.15 4 15.0 0 1 0
1356.0 2639.0 2400.0 0.05 0.2 0.15 4 15.0 0 1 0
1374.0 1356.0 2400.0 0.060000000000000005 0.24 0.15 4 15.0 0 1 0
1374.0 6310.0 2400.0 0.05 0.15 0.15 4 20.0 0 1 0
1374.0 3503.0 2400.0 0.05 0.15 0.15 4 20.0 0 1 0
1430.0 4895.0 2400.0 0.060000000000000005 0.18 0.15 4 20.0 0 1 0
1430.0 6038.0 2400.0 0.060000000000000005 0.24 0.15 4 15.0 0 1 0
1430.0 4822.0 2400.0 0.060000000000000005 0.18 0.15 4 20.0 0 1 0
1430.0 5911.0 2400.0 0.060000000000000005 0.18 0.15 4 20.0 0 1 0
1451.0 6619.0 2400.0 0.060000000000000005 0.24 0.15 4 15.0 0 1 0
1451.0 5100.0 8400.0 0.060000000000000005 0.36 0.15 4 10.0 0 1 0
1451.0 3567.0 2400.0 0.05 0.06666666666666667 0.15 4 45.0 0 1 0
1472.0 7106.0 2400.0 0.060000000000000005 0.24 0.15 4 15.0 0 1 0
1472.0 486.0 2400.0 0.05 0.2 0.15 4 15.0 0 1 0
1472.0 7327.0 2400.0 0.05 0.2 0.15 4 15.0 0 1 0
1496.0 2127.0 1200.0 0.07 0.09333333333333334 0.15 4 45.0 0 1 0
1509.0 4424.0 1200.0 0.07 0.21000000000000002 0.15 4 20.0 0 1 0
1509.0 3051.0 1200.0 0.05 0.15 0.15 4 20.0 0 1 0
1509.0 4831.0 8400.0 0.060000000000000005 0.36 0.15 4 10.0 0 1 0
1511.0 7250.0 2400.0 0.060000000000000005 0.18 0.15 4 20.0 0 1 0
1511.0 148.0 2400.0 0.060000000000000005 0.18 0.15 4 20.0 0 1 0
1529.0 3776.0 2400.0 0.060000000000000005 0.18 0.15 4 20.0 0 1 0
1529.0 1706.0 2400.0 0.060000000000000005 0.24 0.15 4 15.0 0 1 0
1529.0 6260.0 1200.0 0.05 0.2 0.15 4 15.0 0 1 0
1529.0 7327.0 2400.0 0.05 0.15 0.15 4 20.0 0 1 0
1607.0 7550.0 2400.0 0.07 0.08400000000000002 0.15 4 50.0 0 1 0
1627.0 5570.0 2400.0 0.060000000000000005 0.18 0.15 4 20.0 0 1 0
1627.0 1031.0 2400.0 0.09 0.26999999999999996 0.15 4 20.0 0 1 0
1627.0 746.0 2400.0 0.05 0.2 0.15 4 15.0 0 1 0
1632.0 386.0 2400.0 0.060000000000000005 0.24 0.15 4 15.0 0 1 0
1632.0 6735.0 2400.0 0.05 0.2 0.15 4 15.0 0 1 0
1705.0 5570.0 2400.0 0.05 0.15 0.15 4 20.0 0 1 0
1705.0 2706.0 2400.0 0.060000000000000005 0.18 0.15 4 20.0 0 1 0
1705.0 6079.0 2400.0 0.07 0.21000000000000002 0.15 4 20.0 0 1 0
1706.0 1529.0 2400.0 0.060000000000000005 0.24 0.15 4 15.0 0 1 0
1706.0 8116.0 2400.0 0.060000000000000005 0.24 0.15 4 15.0 0 1 0
1890.0 7688.0 2400.0 0.05 0.15 0.15 4 20.0 0 1 0
1890.0 7601.0 2400.0 0.060000000000000005 0.18 0.15 4 20.0 0 1 0
1890.0 3048.0 1200.0 0.07 0.28 0.15 4 15.0 0 1 0
1910.0 7035.0 2400.0 0.060000000000000005 0.24 0.15 4 15.0 0 1 0
1910.0 8116.0 2400.0 0.060000000000000005 0.24 0.15 4 15.0 0 1 0
1910.0 4462.0 2400.0 0.07 0.21000000000000002 0.15 4 20.0 0 1 0
1910.0 6079.0 2400.0 0.060000000000000005 0.18 0.15 4 20.0 0 1 0
1929.0 3001.0 2400.0 0.05 0.2 0.15 4 15.0 0 1 0
1929.0 7035.0 2400.0 0.05 0.2 0.15 4 15.0 0 1 0
1929.0 5559.0 8400.0 0.05 0.3 0.15 4 10.0 0 1 0
2022.0 7091.0 2400.0 0.08 0.096 0.15 4 50.0 0 1 0
2118.0 7700.0 2400.0 0.05 0.2 0.15 4 15.0 0 1 0
2127.0 7115.0 1200.0 0.060000000000000005 0.08000000000000002 0.15 4 45.0 0 1 0
2127.0 3567.0 1200.0 0.060000000000000005 0.08000000000000002 0.15 4 45.0 0 1 0
2169.0 4136.0 2400.0 0.05 0.2 0.15 4 15.0 0 1 0
2169.0 2118.0 2400.0 0.060000000000000005 0.24 0.15 4 15.0 0 1 0
2210.0 7914.0 2400.0 0.08 0.09931034482758619 0.15 4 48.33333333333334 0 1 0
2225.0 5292.0 2400.0 0.060000000000000005 0.24 0.15 4 15.0 0 1 0
2225.0 8246.0 2400.0 0.07 0.28 0.15 4 15.0 0 1 0
2292.0 179.0 1200.0 0.08 0.192 0.15 4 25.0 0 1 0
2292.0 3093.0 8400.0 0.060000000000000005 0.24 0.15 4 15.0 0 1 0
2328.0 4456.0 2400.0 0.08 0.09931034482758619 0.15 4 48.33333333333334 0 1 0
2369.0 5662.0 3600.0 0.08 0.10666666666666665 0.15 4 45.00000000000001 0 1 0
2411.0 5559.0 8400.0 0.05 0.3 0.15 4 10.0 0 1 0
2411.0 3079.0 2400.0 0.05 0.2 0.15 4 15.0 0 1 0
2422.0 2769.0 2400.0 0.05 0.2 0.15 4 15.0 0 1 0
2422.0 3590.0 2400.0 0.060000000000000005 0.18 0.15 4 20.0 0 1 0
2422.0 8287.0 2400.0 0.05 0.15 0.15 4 20.0 0 1 0
2451.0 7552.0 2400.0 0.07 0.21000000000000002 0.15 4 20.0 0 1 0
2451.0 8233.0 2400.0 0.05 0.15 0.15 4 20.0 0 1 0
2560.0 2822.0 8400.0 0.08 0.32 0.15 4 15.0 0 1 0
2560.0 7351.0 8400.0 0.060000000000000005 0.24 0.15 4 15.0 0 1 0
2639.0 8233.0 2400.0 0.060000000000000005 0.18 0.15 4 20.0 0 1 0
2639.0 7579.0 2400.0 0.060000000000000005 0.18 0.15 4 20.0 0 1 0
2642.0 4136.0 2400.0 0.060000000000000005 0.18 0.15 4 20.0 0 1 0
2642.0 5195.0 2400.0 0.05 0.15 0.15 4 20.0 0 1 0
2660.0 5275.0 2400.0 0.09 0.26999999999999996 0.15 4 20.0 0 1 0
2666.0 152.0 2400.0 0.060000000000000005 0.18 0.15 4 20.0 0 1 0
2666.0 1472.0 2400.0 0.060000000000000005 0.24 0.15 4 15.0 0 1 0
2667.0 3778.0 3600.0 0.060000000000000005 0.08000000000000002 0.15 4 45.0 0 1 0
2690.0 3001.0 2400.0 0.07 0.28 0.15 4 15.0 0 1 0
2690.0 5518.0 1200.0 0.07 0.28 0.15 4 15.0 0 1 0
2690.0 4318.0 1200.0 0.060000000000000005 0.24 0.15 4 15.0 0 1 0
2694.0 3843.0 1200.0 0.060000000000000005 0.24 0.15 4 15.0 0 1 0
2694.0 6654.0 2400.0 0.09 0.26999999999999996 0.15 4 20.0 0 1 0
2694.0 4223.0 2400.0 0.060000000000000005 0.18 0.15 4 20.0 0 1 0
2706.0 48.0 2400.0 0.060000000000000005 0.18 0.15 4 20.0 0 1 0
2706.0 5169.0 1200.0 0.060000000000000005 0.24 0.15 4 15.0 0 1 0
2706.0 5785.0 2400.0 0.060000000000000005 0.24 0.15 4 15.0 0 1 0
2706.0 1705.0 2400.0 0.060000000000000005 0.18 0.15 4 20.0 0 1 0
2757.0 6929.0 2400.0 0.05 0.2 0.15 4 15.0 0 1 0
2757.0 7007.0 2400.0 0.05 0.2 0.15 4 15.0 0 1 0
2769.0 3001.0 2400.0 0.060000000000000005 0.24 0.15 4 15.0 0 1 0
2769.0 4822.0 2400.0 0.05 0.2 0.15 4 15.0 0 1 0
2769.0 4318.0 2400.0 0.060000000000000005 0.24 0.15 4 15.0 0 1 0
2771.0 3257.0 2400.0 0.05 0.06666666666666667 0.15 4 45.0 0 1 0
2809.0 6313.0 2400.0 0.08 0.24 0.15 4 20.0 0 1 0
2809.0 7596.0 2400.0 0.05 0.15 0.15 4 20.0 0 1 0
2809.0 4806.0 2400.0 0.060000000000000005 0.18 0.15 4 20.0 0 1 0
2822.0 2560.0 8400.0 0.08 0.32 0.15 4 15.0 0 1 0
2822.0 1257.0 1200.0 0.060000000000000005 0.24 0.15 4 15.0 0 1 0
2822.0 4567.0 1200.0 0.05 0.2 0.15 4 15.0 0 1 0
2831.0 7100.0 2400.0 0.060000000000000005 0.18 0.15 4 20.0 0 1 0
2862.0 6619.0 3600.0 0.05 0.15 0.15 4 20.0 0 1 0
2862.0 5013.0 2400.0 0.05 0.2 0.15 4 15.0 0 1 0
2864.0 7585.0 1200.0 0.060000000000000005 0.08000000000000002 0.15 4 45.0 0 1 0
2864.0 7115.0 2400.0 0.07 0.09333333333333334 0.15 4 45.0 0 1 0
2984.0 6217.0 2400.0 0.05 0.2 0.15 4 15.0 0 1 0
3001.0 1929.0 2400.0 0.05 0.2 0.15 4 15.0 0 1 0
3001.0 2411.0 2400.0 0.060000000000000005 0.24 0.15 4 15.0 0 1 0
3001.0 2769.0 2400.0 0.060000000000000005 0.24 0.15 4 15.0 0 1 0
3018.0 2210.0 1200.0 0.07 0.08400000000000002 0.15 4 50.0 0 1 0
3018.0 1607.0 2400.0 0.060000000000000005 0.10285714285714287 0.15 4 35.0 0 1 0
3038.0 7044.0 3600.0 0.05 0.2 0.15 4 15.0 0 1 0
3038.0 8116.0 2400.0 0.05 0.2 0.15 4 15.0 0 1 0
3038.0 70.0 2400.0 0.060000000000000005 0.24 0.15 4 15.0 0 1 0
3048.0 8246.0 1200.0 0.060000000000000005 0.24 0.15 4 15.0 0 1 0
3051.0 5962.0 1200.0 0.07 0.21000000000000002 0.15 4 20.0 0 1 0
3051.0 7284.0 1200.0 0.05 0.15 0.15 4 20.0 0 1 0
3051.0 1509.0 1200.0 0.05 0.15 0.15 4 20.0 0 1 0
3075.0 4739.0 1200.0 0.05 0.2 0.15 4 15.0 0 1 0
3075.0 494.0 8400.0 0.060000000000000005 0.36 0.15 4 10.0 0 1 0
3075.0 5911.0 1200.0 0.060000000000000005 0.24 0.15 4 15.0 0 1 0
3079.0 48.0 2400.0 0.05 0.2 0.15 4 15.0 0 1 0
3079.0 5169.0 2400.0 0.060000000000000005 0.24 0.15 4 15.0 0 1 0
3079.0 4892.0 2400.0 0.05 0.2 0.15 4 15.0 0 1 0
3093.0 2292.0 8400.0 0.060000000000000005 0.24 0.15 4 15.0 0 1 0
3093.0 670.0 8400.0 0.08 0.32 0.15 4 15.0 0 1 0
3093.0 8255.0 8400.0 0.07 0.28 0.15 4 15.0 0 1 0
3106.0 8233.0 2400.0 0.05 0.15 0.15 4 20.0 0 1 0
3106.0 5962.0 2400.0 0.05 0.15 0.15 4 20.0 0 1 0
3106.0 3051.0 1200.0 0.060000000000000005 0.18 0.15 4 20.0 0 1 0
3126.0 6525.0 2400.0 0.05 0.15 0.15 4 20.0 0 1 0
3126.0 4223.0 1200.0 0.08 0.24 0.15 4 20.0 0 1 0
3173.0 3843.0 2400.0 0.05 0.15 0.15 4 20.0 0 1 0
3173.0 6198.0 2400.0 0.05 0.15 0.15 4 20.0 0 1 0
3173.0 2694.0 1200.0 0.060000000000000005 0.24 0.15 4 15.0 0 1 0
3257.0 4400.0 1200.0 0.060000000000000005 0.08000000000000002 0.15 4 45.0 0 1 0
3257.0 6079.0 2400.0 0.060000000000000005 0.18 0.15 4 20.0 0 1 0
3257.0 7007.0 2400.0 0.060000000000000005 0.18 0.15 4 20.0 0 1 0
3272.0 3273.0 8400.0 0.05 0.3 0.15 4 10.0 0 1 0
3272.0 8094.0 8400.0 0.060000000000000005 0.36 0.15 4 10.0 0 1 0
3272.0 7239.0 8400.0 0.05 0.3 0.15 4 10.0 0 1 0
3273.0 3272.0 8400.0 0.05 0.3 0.15 4 10.0 0 1 0
3273.0 4572.0 2400.0 0.05 0.2 0.15 4 15.0 0 1 0
3281.0 344.0 2400.0 0.060000000000000005 0.07200000000000001 0.15 4 50.0 0 1 0
3407.0 431.0 1200.0 0.060000000000000005 0.24 0.15 4 15.0 0 1 0
3407.0 5911.0 1200.0 0.060000000000000005 0.24 0.15 4 15.0 0 1 0
3425.0 2210.0 2400.0 0.07 0.07636363636363637 0.15 4 55.0 0 1 0
3425.0 1607.0 2400.0 0.07 0.08400000000000002 0.15 4 50.0 0 1 0
3436.0 5401.0 8400.0 0.060000000000000005 0.36 0.15 4 10.0 0 1 0
3436.0 8394.0 8400.0 0.060000000000000005 0.36 0.15 4 10.0 0 1 0
3436.0 6198.0 8400.0 0.060000000000000005 0.36 0.15 4 10.0 0 1 0
3491.0 386.0 8400.0 0.05 0.3 0.15 4 10.0 0 1 0
3491.0 5292.0 8400.0 0.05 0.3 0.15 4 10.0 0 1 0
3491.0 6735.0 8400.0 0.060000000000000005 0.36 0.15 4 10.0 0 1 0
3503.0 8233.0 2400.0 0.05 0.15 0.15 4 20.0 0 1 0
3503.0 1374.0 2400.0 0.05 0.15 0.15 4 20.0 0 1 0
3552.0 7573.0 2400.0 0.07 0.09333333333333334 0.15 4 45.0 0 1 0
3552.0 4382.0 2400.0 0.05 0.06666666666666667 0.15 4 45.0 0 1 0
3567.0 1451.0 2400.0 0.05 0.2 0.15 4 15.0 0 1 0
3567.0 5597.0 2400.0 0.060000000000000005 0.08000000000000002 0.15 4 45.0 0 1 0
3568.0 3776.0 2400.0 0.060000000000000005 0.18 0.15 4 20.0 0 1 0
3568.0 6310.0 2400.0 0.07 0.21000000000000002 0.15 4 20.0 0 1 0
3568.0 7551.0 2400.0 0.060000000000000005 0.24 0.15 4 15.0 0 1 0
3590.0 4892.0 2400.0 0.05 0.15 0.15 4 20.0 0 1 0
3590.0 2422.0 2400.0 0.060000000000000005 0.18 0.15 4 20.0 0 1 0
3590.0 3790.0 2400.0 0.060000000000000005 0.18 0.15 4 20.0 0 1 0
3626.0 1496.0 1200.0 0.05 0.06666666666666667 0.15 4 45.0 0 1 0
3626.0 6353.0 1200.0 0.07 0.09333333333333334 0.15 4 45.0 0 1 0
3673.0 5895.0 2400.0 0.07 0.09333333333333334 0.15 4 45.0 0 1 0
3683.0 8296.0 2400.0 0.05 0.06 0.15 4 50.0 0 1 0
3776.0 3568.0 2400.0 0.060000000000000005 0.18 0.15 4 20.0 0 1 0
3776.0 1529.0 2400.0 0.060000000000000005 0.18 0.15 4 20.0 0 1 0
3776.0 5003.0 1200.0 0.060000000000000005 0.24 0.15 4 15.0 0 1 0
3776.0 4462.0 2400.0 0.05 0.15 0.15 4 20.0 0 1 0
3778.0 8304.0 1200.0 0.060000000000000005 0.08000000000000002 0.15 4 45.0 0 1 0
3778.0 89.0 2400.0 0.07 0.09333333333333334 0.15 4 45.0 0 1 0
3790.0 8394.0 1200.0 0.060000000000000005 0.24 0.15 4 15.0 0 1 0
3790.0 4739.0 1200.0 0.060000000000000005 0.24 0.15 4 15.0 0 1 0
3790.0 3590.0 2400.0 0.060000000000000005 0.18 0.15 4 20.0 0 1 0
3790.0 6198.0 2400.0 0.060000000000000005 0.18 0.15 4 20.0 0 1 0
3838.0 7608.0 2400.0 0.08 0.192 0.15 4 25.0 0 1 0
3838.0 904.0 1200.0 0.07 0.16800000000000004 0.15 4 25.0 0 1 0
3838.0 5513.0 2400.0 0.08 0.192 0.15 4 25.0 0 1 0
3843.0 4785.0 2400.0 0.060000000000000005 0.24 0.15 4 15.0 0 1 0
3843.0 4476.0 2400.0 0.08 0.24 0.15 4 20.0 0 1 0
3843.0 3173.0 2400.0 0.05 0.15 0.15 4 20.0 0 1 0
3858.0 6217.0 2400.0 0.07 0.28 0.15 4 15.0 0 1 0
3858.0 5362.0 1200.0 0.07 0.28 0.15 4 15.0 0 1 0
3858.0 5381.0 2400.0 0.05 0.2 0.15 4 15.0 0 1 0
4062.0 6929.0 8400.0 0.060000000000000005 0.36 0.15 4 10.0 0 1 0
4062.0 8004.0 8400.0 0.060000000000000005 0.36 0.15 4 10.0 0 1 0
4062.0 7121.0 8400.0 0.060000000000000005 0.36 0.15 4 10.0 0 1 0
4136.0 3273.0 2400.0 0.05 0.2 0.15 4 15.0 0 1 0
4136.0 2642.0 2400.0 0.060000000000000005 0.18 0.15 4 20.0 0 1 0
4136.0 7239.0 2400.0 0.05 0.15 0.15 4 20.0 0 1 0
4136.0 2169.0 2400.0 0.05 0.2 0.15 4 15.0 0 1 0
4178.0 606.0 3600.0 0.05 0.15 0.15 4 20.0 0 1 0
4204.0 5275.0 2400.0 0.060000000000000005 0.18 0.15 4 20.0 0 1 0
4223.0 5401.0 2400.0 0.07 0.28 0.15 4 15.0 0 1 0
4223.0 3126.0 1200.0 0.08 0.24 0.15 4 20.0 0 1 0
4223.0 2694.0 2400.0 0.060000000000000005 0.18 0.15 4 20.0 0 1 0
4261.0 6654.0 1200.0 0.060000000000000005 0.08000000000000002 0.15 4 45.0 0 1 0
4318.0 1632.0 2400.0 0.060000000000000005 0.24 0.15 4 15.0 0 1 0
4318.0 2690.0 1200.0 0.060000000000000005 0.24 0.15 4 15.0 0 1 0
4382.0 3552.0 2400.0 0.05 0.06666666666666667 0.15 4 45.0 0 1 0
4382.0 7121.0 2400.0 0.05 0.06666666666666667 0.15 4 45.0 0 1 0
4400.0 685.0 1200.0 0.05 0.06666666666666667 0.15 4 45.0 0 1 0
4424.0 904.0 1200.0 0.05 0.12 0.15 4 25.0 0 1 0
4424.0 1509.0 1200.0 0.07 0.21000000000000002 0.15 4 20.0 0 1 0
4456.0 3683.0 1200.0 0.07 0.08400000000000002 0.15 4 50.0 0 1 0
4456.0 685.0 2400.0 0.09 0.12 0.15 4 45.0 0 1 0
4458.0 1632.0 2400.0 0.060000000000000005 0.24 0.15 4 15.0 0 1 0
4458.0 2690.0 2400.0 0.05 0.2 0.15 4 15.0 0 1 0
4462.0 3776.0 2400.0 0.05 0.15 0.15 4 20.0 0 1 0
4462.0 1910.0 2400.0 0.07 0.21000000000000002 0.15 4 20.0 0 1 0
4462.0 5518.0 1200.0 0.060000000000000005 0.24 0.15 4 15.0 0 1 0
4476.0 3843.0 2400.0 0.08 0.24 0.15 4 20.0 0 1 0
4567.0 8004.0 3600.0 0.060000000000000005 0.24 0.15 4 15.0 0 1 0
4567.0 670.0 1200.0 0.07 0.28 0.15 4 15.0 0 1 0
4567.0 2822.0 1200.0 0.05 0.2 0.15 4 15.0 0 1 0
4567.0 8255.0 1200.0 0.07 0.16800000000000004 0.15 4 25.0 0 1 0
4572.0 4204.0 2400.0 0.05 0.2 0.15 4 15.0 0 1 0
4572.0 6062.0 2400.0 0.07 0.21000000000000002 0.15 4 20.0 0 1 0
4608.0 8209.0 1200.0 0.060000000000000005 0.07200000000000001 0.15 4 50.0 0 1 0
4608.0 3281.0 1200.0 0.060000000000000005 0.07200000000000001 0.15 4 50.0 0 1 0
4739.0 1119.0 2400.0 0.060000000000000005 0.24 0.15 4 15.0 0 1 0
4739.0 3075.0 1200.0 0.05 0.2 0.15 4 15.0 0 1 0
4739.0 3790.0 1200.0 0.060000000000000005 0.24 0.15 4 15.0 0 1 0
4739.0 8287.0 2400.0 0.060000000000000005 0.24 0.15 4 15.0 0 1 0
4774.0 7044.0 1200.0 0.05 0.2 0.15 4 15.0 0 1 0
4774.0 2757.0 2400.0 0.060000000000000005 0.18 0.15 4 20.0 0 1 0
4785.0 2809.0 2400.0 0.060000000000000005 0.24 0.15 4 15.0 0 1 0
4785.0 477.0 2400.0 0.05 0.2 0.15 4 15.0 0 1 0
4785.0 5062.0 2400.0 0.08 0.32 0.15 4 15.0 0 1 0
4806.0 7841.0 2400.0 0.05 0.15 0.15 4 20.0 0 1 0
4806.0 3626.0 2400.0 0.060000000000000005 0.08000000000000002 0.15 4 45.0 0 1 0
4822.0 2769.0 2400.0 0.05 0.2 0.15 4 15.0 0 1 0
4822.0 1430.0 2400.0 0.060000000000000005 0.18 0.15 4 20.0 0 1 0
4822.0 8287.0 2400.0 0.05 0.15 0.15 4 20.0 0 1 0
4827.0 1103.0 2400.0 0.09 0.216 0.15 4 25.0 0 1 0
4831.0 7185.0 8400.0 0.060000000000000005 0.36 0.15 4 10.0 0 1 0
4831.0 1509.0 8400.0 0.060000000000000005 0.36 0.15 4 10.0 0 1 0
4892.0 48.0 2400.0 0.05 0.15 0.15 4 20.0 0 1 0
4892.0 3590.0 2400.0 0.05 0.15 0.15 4 20.0 0 1 0
4892.0 3079.0 2400.0 0.05 0.2 0.15 4 15.0 0 1 0
4895.0 7292.0 2400.0 0.060000000000000005 0.18 0.15 4 20.0 0 1 0
4895.0 6038.0 2400.0 0.05 0.2 0.15 4 15.0 0 1 0
4895.0 1430.0 2400.0 0.060000000000000005 0.18 0.15 4 20.0 0 1 0
4895.0 3407.0 2400.0 0.060000000000000005 0.24 0.15 4 15.0 0 1 0
4942.0 7250.0 2400.0 0.05 0.2 0.15 4 15.0 0 1 0
4942.0 6619.0 2400.0 0.05 0.2 0.15 4 15.0 0 1 0
4942.0 5013.0 3600.0 0.05 0.15 0.15 4 20.0 0 1 0
5003.0 3776.0 1200.0 0.060000000000000005 0.24 0.15 4 15.0 0 1 0
5003.0 7551.0 2400.0 0.060000000000000005 0.24 0.15 4 15.0 0 1 0
5003.0 5518.0 2400.0 0.060000000000000005 0.24 0.15 4 15.0 0 1 0
5003.0 6303.0 2400.0 0.05 0.2 0.15 4 15.0 0 1 0
5013.0 7292.0 3600.0 0.060000000000000005 0.18 0.15 4 20.0 0 1 0
5013.0 2862.0 2400.0 0.05 0.2 0.15 4 15.0 0 1 0
5062.0 4785.0 2400.0 0.08 0.32 0.15 4 15.0 0 1 0
5100.0 1451.0 8400.0 0.060000000000000005 0.36 0.15 4 10.0 0 1 0
5100.0 7309.0 8400.0 0.060000000000000005 0.36 0.15 4 10.0 0 1 0
